자치구,행정동,기초생활수급자인원,노년부양비,고령자수,노령화지수,무료급식소개수,점수,순위,cluster
강서구,가양2동,3330,49.6,4394,683.7,2,2.311671972,1,1
노원구,중계2·3동,4920,33.4,7662,263.9,0,1.791792707,2,1
강북구,번3동,2857,46.2,4784,366,0,1.710586829,3,1
도봉구,도봉1동,1603,44,5925,488.1,1,1.588082689,4,1
관악구,삼성동,1612,39.5,5498,455.3,0,1.523594341,5,1
동대문구,청량리동,1741,43.8,5443,473.3,1,1.512251404,6,1
강북구,송천동,1887,34.4,6255,429.8,0,1.425310422,7,1
강북구,번2동,1886,39.8,4122,446.8,0,1.405702054,8,1
강북구,인수동,2118,35.4,7218,317.7,0,1.315604673,9,1
은평구,불광2동,2234,31.3,6119,398.3,0,1.289213647,10,1
노원구,월계2동,3136,34.2,6042,255.7,0,1.189057042,11,1
강서구,가양3동,2312,38.9,3860,442.4,1,1.188806805,12,1
동대문구,제기동,1577,30.6,5830,391.6,0,1.058870361,13,1
노원구,상계3·4동,2610,36.1,6169,303.4,1,1.047169522,14,1
은평구,응암3동,1914,33.7,5749,400.1,1,1.022646215,15,1
강북구,수유3동,1718,26.9,4794,442,0,0.975069844,16,1
강북구,수유2동,1372,35.5,5120,346.1,0,0.971749463,17,1
도봉구,도봉2동,1079,38.9,6786,317,1,0.908160084,18,1
중랑구,면목본동,2540,25,6341,302.3,0,0.891330595,19,1
노원구,상계5동,2059,31.2,5241,305.1,0,0.875655237,20,1
강북구,우이동,1220,36.1,4987,321.6,0,0.872903133,21,1
관악구,난곡동,2148,29.1,5582,307,0,0.86812576,22,1
도봉구,방학1동,1868,31,6174,271.1,0,0.842441578,23,1
도봉구,방학2동,2454,34.4,4595,331,1,0.83652594,24,1
강서구,등촌3동,5507,34.2,7059,307.7,5,0.812851637,25,1
강서구,화곡1동,1971,21.5,8695,263.3,0,0.812446981,26,1
강동구,길동,1637,25.4,8474,245.5,0,0.797618904,27,1
노원구,월계3동,2079,31.7,6371,219.9,0,0.79570351,28,1
은평구,역촌동,2368,26.9,8727,239.8,1,0.795693794,29,1
중랑구,중화2동,2511,28.3,5153,360.2,1,0.782283944,30,1
노원구,상계1동,1908,28.2,7552,220.2,0,0.776236167,31,1
강북구,수유1동,1536,31.5,4572,333.8,0,0.765302216,32,1
노원구,공릉1동,2447,25,6867,242.3,0,0.764925706,33,1
양천구,신월1동,1804,30.7,4443,325,0,0.757926407,34,1
강북구,미아동,1280,29.2,4607,376.2,0,0.748060273,35,1
구로구,오류2동,1774,28.7,7373,220,0,0.740847352,36,1
성북구,석관동,1886,29.9,7473,270.6,1,0.725742456,37,1
은평구,불광1동,1849,29.4,7964,252.9,1,0.709342786,38,1
동작구,노량진2동,884,26.4,2221,533.1,0,0.708365189,39,1
강북구,삼양동,1735,30.9,5015,275.5,0,0.679384738,40,1
강북구,송중동,1503,29.1,6192,264.4,0,0.673920383,41,1
강서구,방화3동,2276,36.5,5531,302.7,2,0.666296248,42,1
금천구,시흥5동,1768,34.1,4504,322.6,1,0.633123132,43,1
중랑구,면목3·8동,1970,28.9,5164,339.5,1,0.622144885,44,1
구로구,구로4동,957,28.8,4597,360.2,0,0.61311104,45,1
강북구,번1동,1223,27.7,3801,382.2,0,0.600077767,46,1
은평구,구산동,1536,27.8,6372,239.2,0,0.58604162,47,1
동대문구,전농1동,1837,27.8,5795,237.6,0,0.580497364,48,1
중랑구,신내1동,2097,27.2,7200,158.6,0,0.567538939,49,1
성북구,장위2동,1076,32.9,3138,339.7,0,0.551199334,50,1
구로구,수궁동,931,21.8,4703,419.5,0,0.537386263,51,1
서대문구,북가좌2동,1521,29.1,6502,283.3,1,0.530604033,52,1
관악구,미성동,1352,27.5,6054,249,0,0.521835913,53,1
강동구,암사1동,1922,25.3,6290,208.4,0,0.488889391,54,1
양천구,신정3동,2380,22.3,8081,130.9,0,0.487147488,55,1
금천구,시흥4동,1275,30.1,4365,277.7,0,0.471908207,56,1
